open,low,high,close,volume,vwap,target
11.24,11.23,11.53,11.49,14450,698.9717536,0.000130617
14.05,14.05,14.2,14.15,4230,1750.086998,0.000180708
46.1,44.3,46.75,45.25,7593,6922.104945,0.001674554
6.75,6.68,6.79,6.74,2419,890.2166928,0.000573602
4.64,4.6,4.66,4.65,7271,236.306332,0.000548481
58.88,58.33,60.38,59.06,3777,5012.12255,0.000479087
12.98,12.76,13,12.89,11156,1110.616779,0.000225149
6.77,6.66,6.82,6.71,1964,1473.526074,0.000464628
209,206.13,219.24,218,797,23882.18739,0.000498095
248.31,243.53,256.36,255.6,171,27454.53351,0.000491715
7.25,7.22,7.46,7.4,14086,610.8742049,0.000358081
36.52,36.4,37.65,37.4,5793,2724.676508,0.000222885
14.71,14.71,14.92,14.85,4506,1063.600957,0.000114179
24.64,24.42,24.98,24.75,458,4069.384847,0.000554981
8.42,8.41,8.55,8.49,390,2014.673846,0.000217819
163.27,162.85,167.49,167.36,2170,13252.10537,0.000189821
24.5,24.41,24.76,24.66,455,3678.287978,7.34E-05
31.85,29.91,31.99,31.8,8045,2698.382397,0.000970956
48,46.16,48.8,47.36,11198,5648.66531,0.00182899
22.49,21.51,22.49,21.6,1050,1947.014724,0.000512127
22.44,22.15,22.48,22.3,920,1306.641402,0.000187342
6.63,6.41,6.63,6.48,4598,1811.248095,0.000575732
29.91,29,30.65,29.2,6630,3089.146525,0.001260248
6.86,6.83,6.93,6.9,771,796.4654994,0.000318658
19.8,19.57,20.2,19.95,6479,2380.522826,0.000980788
7.51,7.43,7.56,7.52,7094,393.6468043,0.000431962
33.12,33.08,33.67,33.4,2108,5483.672472,0.000416969
32.95,32.95,34.53,33.68,11085,6154.366371,0.002263753
34.78,31.39,34.8,31.49,8638,3071.756069,0.003245922
16.5,16.44,16.67,16.63,844,1718.899443,0.000292751
15.28,14.95,15.38,14.99,902,2818.953969,0.000492066
8.74,8.73,8.89,8.88,1319,919.0952691,0.000237766
158,153.76,169.13,156.82,518,26804.51313,0.001472687
3.11,3.11,3.15,3.14,4666,402.2305165,0.001151829
174.94,162.07,174.94,171,431,40795.89107,0.00080229
29.42,29.02,29.53,29.2,271,7204.021292,0.000616483
34.44,32.87,34.64,33.86,1189,6978.642759,0.000829191
11.8,11.78,12.09,11.91,1652,1950.941265,0.000280918
96.37,96.37,99.33,98,859,3861.502689,0.000615337
48.99,48.26,50,49.51,238,4808.428361,0.00145836
9.28,9.21,9.52,9.3,7554,804.3874186,0.000600149
5.42,5.41,5.49,5.48,2544,438.1070086,0.000378593
3.75,3.75,3.81,3.8,7909,278.8806233,0.000504269
5.62,5.61,5.79,5.75,3387,840.5326395,0.00038031
7.13,7.12,7.18,7.15,1879,372.4017722,0.000387096
6.38,6.36,6.55,6.53,7923,965.4812748,0.000577078
19.8,19.78,20.39,20.24,10069,1746.09906,0.000109382
16.79,16.54,16.93,16.6,3636,2327.836631,0.000223689
32.9,32.8,33.76,33.72,7115,2129.845183,0.000122317
4.8,4.77,4.97,4.91,42596,273.2983297,0.000592349
7.12,7.11,7.26,7.24,2061,708.472984,0.000322635
57.39,55.22,57.46,55.52,1023,6996.049501,0.000694261
14.18,14.17,14.33,14.28,1693,1507.37873,0.000100899
