open,low,high,close,volume,vwap,target
53.7,53.32,54.69,54.35,125,365625.8308,0.000330176
562.52,557.67,569.98,562.54,100,7551544.109,0.000357176
182,180.655,182.64,182.42,169,1400176.28,0.000162557
223,218.45,224.5,220.02,190373,791.4905684,0.00021845
74.83,74.64,75.21,74.77,285484,352.7101778,6.39E-05
58.69,58.69,59.6,59.24,4192,22298.58598,6.36E-05
7.57,7.51,7.745,7.71,93744,51.86750652,0.000147633
140.15,139.96,141.25,140.02,51223,366.8380228,9.31E-05
105.64,105.24,105.97,105.35,138355,480.2359775,8.09E-05
66.66,66.66,67.66,67.07,38916,228.8717461,0.000213978
153.5,152.5,154.88,153.77,148,2484507.855,0.000305455
138.47,136.875,139.96,137.88,406,11462465,0.000299154
157.09,157.09,160.975,160.66,38147,521.3065828,0.000216482
41.47,41.38,41.82,41.6,1200,361474.3099,0.000140222
298.68,297.82,300.6,298.02,99016,980.9049724,6.01E-05
89,88.25,89.05,88.57,312611,381.7788031,6.64E-05
45.88,45.7825,46.43,46.13,84959,215.9052065,0.00016976
184.59,180.945,185.1,181.35,138600,490.5546338,8.46E-05
189.52,188.76,192.31,189.02,67586,668.6011889,0.000115774
158.5,157.99,160.16,159.7799,100,2383853.214,0.000142705
2547.21,2519.51,2547.21,2542.39,14430,5401.907764,0.000124256
224.45,221.95,226.3,223.47,100,6112520.574,0.000379031
281,277.66,281,278.46,142129,1084.318906,6.71E-05
26.93,26.76,27.05,26.87,581638,69.76311358,0.000115136
44.99,44.79,45.755,45.42,3761,50110.04479,9.55E-05
361.8,358.63,363.39,362.05,210,3095663.024,5.90E-05
53.93,53.34,54.57,53.62,10441,29061.30419,0.000215076
67.85,66.51,67.85,66.68,292234,295.276961,0.000173519
86.4501,86.4501,88.145,87.58,250118,329.3819072,6.39E-05
282.95,282.21,287.07,286.0001,200,2237836.342,0.000138106
202,202,204.35,203.29,205815,796.9552856,6.38E-05
221.55,220.52,224,221.35,348,2504210.093,0.000715286
106.5,106.14,106.96,106.48,126317,260.3231427,6.60E-05
73.63,73,74.08,73.27,453069,310.668407,4.91E-05
15.32,15.32,15.62,15.47,461,171616.3002,0.000433117
158.6,154.78,158.6,155.38,432,278281.5108,8.73E-05
46.77,45.35,46.79,45.75,499,1509946.643,7.98E-05
203,201.74,203.44,203,118,951782.6819,5.78E-05
22.49,22.34,22.835,22.67,259636,133.8567471,0.000222955
103.16,103.16,104.49,103.5,197121,529.6183308,0.000322983
551.5443,540.64,553.48,542.5,100,4297966.9,0.000126335
