open,low,high,close,volume,vwap,target
10.38,10.36,10.68,10.67,15935,916.2550066,0.000478934
13.5,13.28,13.86,13.86,11420,1423.3837,0.001889602
22.18,22.06,22.5,22.45,3056,2069.222431,0.000500287
5.36,5.34,5.5,5.5,5763,297.2784522,0.00057302
3.9,3.89,3.99,3.98,5510,350.1274338,0.000710369
40.58,40.09,41.6,41.6,7428,2646.651034,0.000634767
9.11,9.1,9.69,9.68,11018,529.4973852,0.000542912
4.62,4.57,4.73,4.73,7409,341.7685653,0.000703675
156.77,156.6,170.9,170,2712,14970.96879,0.001365827
199,196.29,208.03,207.17,295,27428.55363,0.001335753
4.5,4.47,4.59,4.59,2699,307.9080289,0.000829906
28.75,28.6,29.37,29.37,10160,1844.656287,0.000687602
13.64,13.63,14.17,14.17,7210,1181.406929,0.001186777
19.92,19.88,21.65,21.58,2440,1687.360615,0.001487124
6.97,6.9,7.16,7.15,520,837.0654231,0.000512237
135.55,133.41,142.58,142.58,5210,10442.8914,0.000917718
22.79,22.79,23.9,23.88,1885,1374.208403,0.000579288
17.1,16.95,17.4,17.3,4069,1139.285864,0.000705184
23.02,22.57,23.15,23.15,6075,1683.442288,0.001350929
17.85,17.76,18.24,18.07,694,931.4139193,0.000420511
17.7,17.01,17.88,17.64,4111,1872.289219,0.000963371
4.5,4.41,4.92,4.84,20816,528.9134661,0.002198972
21.25,21.12,21.9,21.88,3403,1905.764446,0.001675901
6.67,6.59,6.8,6.77,1351,657.3604219,0.001162401
11.7,11.59,12.04,12.04,3780,779.2473492,0.001086525
5.44,5.4,5.53,5.5,2571,570.3823259,0.000776193
28.38,27.92,28.87,28.85,4973,2289.673935,0.000790863
28.55,28.09,29.56,29.48,12148,2291.310475,0.001578709
14.49,14.28,14.9,14.87,4979,823.1033822,0.000736543
15.37,15.36,15.86,15.86,2258,819.0011116,0.000442128
12.57,12.44,13.13,13.11,1968,1250.517149,0.000943705
8.67,8.65,8.85,8.83,1801,626.2773626,0.000488583
103.69,101.75,107.78,107.59,759,10262.04787,0.001503733
2.63,2.63,2.66,2.66,6035,397.4816487,0.001627608
84.95,84.21,88.03,87.64,1139,4762.15676,0.001199505
