open,low,high,close,volume,vwap,target
23.9699,23.89,25.34,25.21,300,116446.3887,0.001412697
339.7,336.73,345.6292,341,100,4733719.568,0.000608886
164.45,163.76,167.59,165.8,209,1627752.519,0.000316924
186.85,186,190.71,187.87,102,1246568.6,0.000914795
71.48,71.31,72.44,71.92,27232,6105.061649,0.000142641
63.5,63.18,64.56,63.87,200,919964.1054,0.000204107
7.18,7.18,7.42,7.35,4651,1707.963769,0.000477609
128.06,127.515,129.39,129.09,1789,13592.11947,0.000293022
86,84.93,86.21,85.86,6072,11144.63394,0.000154363
47,46.3477,47.43,47.14,1222,4137.009409,0.001401255
98,97.19,99.62,99.32,500,763800.5566,0.000871399
86.85,83.36,87,86.6,7101,707288.0224,0.000841247
107.99,107.99,110.65,110.64,12411,4741.365626,0.000583805
45.89,45.89,47.54,47.2,757,1156219.155,0.00043056
305.12,304,308.41,306.59,598,316040.128,0.000436479
77.33,76.57,77.93,77.53,25733,4411.86231,0.000223274
29.56,29.535,31.23,31.03,145921,199.2821163,0.000692977
160.53,160.5,165.71,164.32,135826,411.9082892,0.000343674
185.86,184.39,186.915,186.79,80588,725.3410555,0.000310428
148.12,148.12,151.96,150.8999,100,2194383.746,0.000310692
2429.67,2421.01,2454.37,2445.46,13704,8654.857577,0.000461377
196.35,193.87,203.88,203.24,100,15332325.35,0.000589539
258,256.23,258.52,258.09,7075,35478.14343,0.000549565
27.14,27.14,27.99,27.83,15300,5290.5557,0.000488715
46.88,46.88,48.03,47.45,100,2994978.849,0.000221958
311.87,310.54,316.89,314.99,100,8780123.853,0.000194431
46.31,46.045,46.68,46.5,5347,44663.6012,0.000171858
66.6,66.04,67.92,66.71,6464,13996.87961,0.000359016
76.71,75.95,77.05,77,5154,23926.44686,0.000217479
239.79,238.55,242.13,241.3,100,3613495.654,0.000370858
221.91,221.3544,225.26,224.4,1149,236634.7032,0.000204156
135.5,135.49,141.85,139.55,500,3050144.484,0.000948591
104.81,104.81,106.57,106.35,1977,13032.65515,0.000259659
79.36,79.185,80.13,79.48,1119,207676.7969,0.000106023
16.82,16.52,17.465,17.23,124,1722508.271,0.00147268
142.54,142.32,144.4275,143.58,200,404441.7235,0.001049471
35.46,35.46,36.97,36.45,100,7041897.637,0.000769155
169.6,168.03,170.47,170.08,2096,126786.4664,0.000136019
15.93,15.77,16.66,16.36,4018,6753.818821,0.00091207
93.4,93.4,97.98,95.8,2285,97185.55822,0.001093688
